Testname,Listener,Trial,Condition,Ratingscore
SiSEC08,Listener_18,wdrums_inst_sim_3,Algo8,42
SiSEC08,Listener_18,wdrums_inst_sim_3,Algo21,45
SiSEC08,Listener_18,wdrums_inst_sim_3,Algo22,55
SiSEC08,Listener_18,wdrums_inst_sim_3,Algo24,51
SiSEC08,Listener_18,wdrums_inst_sim_3,Algo25,40
SiSEC08,Listener_18,wdrums_inst_sim_3,Algo27,49
SiSEC08,Listener_18,wdrums_inst_sim_3,Algo30,53
SiSEC08,Listener_18,wdrums_inst_sim_3,Algo32,30
SiSEC08,Listener_18,wdrums_inst_sim_3,Algo34,38
SiSEC08,Listener_18,wdrums_inst_sim_3,anchor,0
SiSEC08,Listener_19,female_inst_sim_1,orig,100
SiSEC08,Listener_19,female_inst_sim_1,Algo8,47
SiSEC08,Listener_19,female_inst_sim_1,Algo21,45
SiSEC08,Listener_19,female_inst_sim_1,Algo22,50
SiSEC08,Listener_19,female_inst_sim_1,Algo24,48
SiSEC08,Listener_19,female_inst_sim_1,Algo25,35
SiSEC08,Listener_19,female_inst_sim_1,Algo27,42
SiSEC08,Listener_19,female_inst_sim_1,Algo30,42
SiSEC08,Listener_19,female_inst_sim_1,Algo32,30
SiSEC08,Listener_19,female_inst_sim_1,Algo34,33
SiSEC08,Listener_19,female_inst_sim_1,anchor,10
SiSEC08,Listener_19,female_inst_sim_2,orig,100
SiSEC08,Listener_19,female_inst_sim_2,Algo8,40
SiSEC08,Listener_19,female_inst_sim_2,Algo21,32
SiSEC08,Listener_19,female_inst_sim_2,Algo22,45
SiSEC08,Listener_19,female_inst_sim_2,Algo24,37
SiSEC08,Listener_19,female_inst_sim_2,Algo25,28
SiSEC08,Listener_19,female_inst_sim_2,Algo27,32
SiSEC08,Listener_19,female_inst_sim_2,Algo30,34
SiSEC08,Listener_19,female_inst_sim_2,Algo32,20
SiSEC08,Listener_19,female_inst_sim_2,Algo34,25
SiSEC08,Listener_19,female_inst_sim_2,anchor,10
SiSEC08,Listener_19,female_inst_sim_3,orig,100
SiSEC08,Listener_19,female_inst_sim_3,Algo8,32
SiSEC08,Listener_19,female_inst_sim_3,Algo21,24
SiSEC08,Listener_19,female_inst_sim_3,Algo22,24
SiSEC08,Listener_19,female_inst_sim_3,Algo24,30
SiSEC08,Listener_19,female_inst_sim_3,Algo25,20
SiSEC08,Listener_19,female_inst_sim_3,Algo27,22
SiSEC08,Listener_19,female_inst_sim_3,Algo30,30
SiSEC08,Listener_19,female_inst_sim_3,Algo32,15
SiSEC08,Listener_19,female_inst_sim_3,Algo34,20
SiSEC08,Listener_19,female_inst_sim_3,anchor,10
SiSEC08,Listener_19,female_inst_sim_4,orig,100
SiSEC08,Listener_19,female_inst_sim_4,Algo8,40
SiSEC08,Listener_19,female_inst_sim_4,Algo21,42
SiSEC08,Listener_19,female_inst_sim_4,Algo22,45
SiSEC08,Listener_19,female_inst_sim_4,Algo24,38
SiSEC08,Listener_19,female_inst_sim_4,Algo25,25
SiSEC08,Listener_19,female_inst_sim_4,Algo27,40
SiSEC08,Listener_19,female_inst_sim_4,Algo30,42
SiSEC08,Listener_19,female_inst_sim_4,Algo32,30
SiSEC08,Listener_19,female_inst_sim_4,Algo34,20
SiSEC08,Listener_19,female_inst_sim_4,anchor,10
SiSEC08,Listener_19,male_inst_sim_1,orig,100
SiSEC08,Listener_19,male_inst_sim_1,Algo8,40
SiSEC08,Listener_19,male_inst_sim_1,Algo21,38
SiSEC08,Listener_19,male_inst_sim_1,Algo22,50
SiSEC08,Listener_19,male_inst_sim_1,Algo24,41
SiSEC08,Listener_19,male_inst_sim_1,Algo25,25
SiSEC08,Listener_19,male_inst_sim_1,Algo27,40
SiSEC08,Listener_19,male_inst_sim_1,Algo30,40
SiSEC08,Listener_19,male_inst_sim_1,Algo32,30
SiSEC08,Listener_19,male_inst_sim_1,Algo34,30
SiSEC08,Listener_19,male_inst_sim_1,anchor,20
SiSEC08,Listener_19,male_inst_sim_2,orig,100
SiSEC08,Listener_19,male_inst_sim_2,Algo8,20
SiSEC08,Listener_19,male_inst_sim_2,Algo21,30
SiSEC08,Listener_19,male_inst_sim_2,Algo22,38
SiSEC08,Listener_19,male_inst_sim_2,Algo24,35
SiSEC08,Listener_19,male_inst_sim_2,Algo25,25
SiSEC08,Listener_19,male_inst_sim_2,Algo27,20
SiSEC08,Listener_19,male_inst_sim_2,Algo30,35
SiSEC08,Listener_19,male_inst_sim_2,Algo32,16
SiSEC08,Listener_19,male_inst_sim_2,Algo34,25
SiSEC08,Listener_19,male_inst_sim_2,anchor,10
SiSEC08,Listener_19,male_inst_sim_3,orig,100
SiSEC08,Listener_19,male_inst_sim_3,Algo8,35
SiSEC08,Listener_19,male_inst_sim_3,Algo21,40
SiSEC08,Listener_19,male_inst_sim_3,Algo22,43
SiSEC08,Listener_19,male_inst_sim_3,Algo24,38
SiSEC08,Listener_19,male_inst_sim_3,Algo25,30
SiSEC08,Listener_19,male_inst_sim_3,Algo27,38
SiSEC08,Listener_19,male_inst_sim_3,Algo30,35
SiSEC08,Listener_19,male_inst_sim_3,Algo32,25
SiSEC08,Listener_19,male_inst_sim_3,Algo34,38
SiSEC08,Listener_19,male_inst_sim_3,anchor,15
SiSEC08,Listener_19,male_inst_sim_4,orig,100
SiSEC08,Listener_19,male_inst_sim_4,Algo8,30
SiSEC08,Listener_19,male_inst_sim_4,Algo21,35
SiSEC08,Listener_19,male_inst_sim_4,Algo22,32
SiSEC08,Listener_19,male_inst_sim_4,Algo24,35
SiSEC08,Listener_19,male_inst_sim_4,Algo25,25
SiSEC08,Listener_19,male_inst_sim_4,Algo27,35
SiSEC08,Listener_19,male_inst_sim_4,Algo30,35
SiSEC08,Listener_19,male_inst_sim_4,Algo32,25
SiSEC08,Listener_19,male_inst_sim_4,Algo34,20
SiSEC08,Listener_19,male_inst_sim_4,anchor,15
SiSEC08,Listener_19,nodrums_inst_sim_1,orig,100
SiSEC08,Listener_19,nodrums_inst_sim_1,Algo8,40
SiSEC08,Listener_19,nodrums_inst_sim_1,Algo21,40
SiSEC08,Listener_19,nodrums_inst_sim_1,Algo22,70
SiSEC08,Listener_19,nodrums_inst_sim_1,Algo24,40
SiSEC08,Listener_19,nodrums_inst_sim_1,Algo25,35
SiSEC08,Listener_19,nodrums_inst_sim_1,Algo27,40
SiSEC08,Listener_19,nodrums_inst_sim_1,Algo30,50
SiSEC08,Listener_19,nodrums_inst_sim_1,Algo32,25
SiSEC08,Listener_19,nodrums_inst_sim_1,Algo34,15
SiSEC08,Listener_19,nodrums_inst_sim_1,anchor,10
SiSEC08,Listener_19,nodrums_inst_sim_2,orig,100
SiSEC08,Listener_19,nodrums_inst_sim_2,Algo8,54
SiSEC08,Listener_19,nodrums_inst_sim_2,Algo21,45
SiSEC08,Listener_19,nodrums_inst_sim_2,Algo22,60
SiSEC08,Listener_19,nodrums_inst_sim_2,Algo24,48
SiSEC08,Listener_19,nodrums_inst_sim_2,Algo25,35
SiSEC08,Listener_19,nodrums_inst_sim_2,Algo27,54
SiSEC08,Listener_19,nodrums_inst_sim_2,Algo30,48
SiSEC08,Listener_19,nodrums_inst_sim_2,Algo32,25
SiSEC08,Listener_19,nodrums_inst_sim_2,Algo34,0
SiSEC08,Listener_19,nodrums_inst_sim_2,anchor,15
SiSEC08,Listener_19,nodrums_inst_sim_3,orig,100
SiSEC08,Listener_19,nodrums_inst_sim_3,Algo8,100
SiSEC08,Listener_19,nodrums_inst_sim_3,Algo21,95
SiSEC08,Listener_19,nodrums_inst_sim_3,Algo22,100
SiSEC08,Listener_19,nodrums_inst_sim_3,Algo24,90
SiSEC08,Listener_19,nodrums_inst_sim_3,Algo25,50
SiSEC08,Listener_19,nodrums_inst_sim_3,Algo27,100
SiSEC08,Listener_19,nodrums_inst_sim_3,Algo30,92
SiSEC08,Listener_19,nodrums_inst_sim_3,Algo32,40
SiSEC08,Listener_19,nodrums_inst_sim_3,Algo34,0
SiSEC08,Listener_19,nodrums_inst_sim_3,anchor,15
SiSEC08,Listener_19,wdrums_inst_sim_1,orig,100
SiSEC08,Listener_19,wdrums_inst_sim_1,Algo8,47
SiSEC08,Listener_19,wdrums_inst_sim_1,Algo21,47
SiSEC08,Listener_19,wdrums_inst_sim_1,Algo22,52
SiSEC08,Listener_19,wdrums_inst_sim_1,Algo24,47
SiSEC08,Listener_19,wdrums_inst_sim_1,Algo25,30
SiSEC08,Listener_19,wdrums_inst_sim_1,Algo27,47
SiSEC08,Listener_19,wdrums_inst_sim_1,Algo30,57
SiSEC08,Listener_19,wdrums_inst_sim_1,Algo32,45
SiSEC08,Listener_19,wdrums_inst_sim_1,Algo34,35
SiSEC08,Listener_19,wdrums_inst_sim_1,anchor,25
SiSEC08,Listener_19,wdrums_inst_sim_2,orig,100
SiSEC08,Listener_19,wdrums_inst_sim_2,Algo8,33
SiSEC08,Listener_19,wdrums_inst_sim_2,Algo21,58
SiSEC08,Listener_19,wdrums_inst_sim_2,Algo22,55
SiSEC08,Listener_19,wdrums_inst_sim_2,Algo24,40
SiSEC08,Listener_19,wdrums_inst_sim_2,Algo25,0
SiSEC08,Listener_19,wdrums_inst_sim_2,Algo27,10
